名称,地区,经度,维度,总价/万,单价/元,规格,大小/平方米,朝向,装修,楼层,楼层样式,关注人数
丽港尊品,泉港区,116.498074503315,39.9719403775391,50.6,4023,3室2厅,125,东南,毛坯,低楼层(共15层),暂无数据,70
中航城天骏,宝龙广场,112.041311362562,22.9278498536682,209,19178,3室2厅,108,南,简装,高楼层(共32层),板楼,330
汇金广场,涂门街,116.824929790242,40.0720878791771,84,14538,1室1厅,57,东南,精装,高楼层(共13层),板楼,150
龙湖嘉天下,池店南,124.074320382914,40.4658203325896,358,18289,4室2厅,195,南,毛坯,低楼层(共39层),板楼,250
世纪金源小区,石狮中心,121.356488887895,31.3215271167977,95,6552,3室2厅,145,东南,简装,低楼层(共13层),暂无数据,70
千亿山庄,丰泽街,109.880110129882,40.6732097506655,255,15606,4室2厅,163,东南,精装,中楼层(共9层),板楼,370
世茂御龙湾满堂红,晋江万达,114.110773607605,22.5542892875296,271.17,15500,4室2厅,174,南,毛坯,低楼层(共33层),板楼,90
迎宾花苑,展览城,120.643031475589,31.2885421224929,138,7397,8室2厅,186,东南,毛坯,高楼层(共7层),板楼,410
杏园小区,洛江区,118.531283126302,24.9099436167978,97.5,9998,3室2厅,97,南,简装,中楼层(共6层),板楼,210
华洲堤防小区,泉州桥南,116.723524646933,23.3777757806284,106,7845,3室2厅,135,东南,精装,高楼层(共6层),暂无数据,770
中航城天悦,宝龙广场,105.452970501938,25.6920930009959,182,17538,3室2厅,103,东南,毛坯,高楼层(共33层),板塔结合,90
海景国际花园天域,赤山水库,118.838215047269,24.9327274851229,355,20109,3室2厅,176,东南,精装,高楼层(共34层),板塔结合,130
金丘紫金城,紫帽镇,118.569463148952,24.8884677614076,89.8,8892,3室2厅,100,南,毛坯,高楼层(共18层),板塔结合,50
百宏御璟天下,晋江万达,116.723524646933,23.3777757806284,260,21497,3室1厅,120,南,毛坯,高楼层(共32层),板楼,130
毅达新村,丰泽街,114.089504877205,22.5486862804858,178,15871,3室2厅,112,南北,简装,高楼层(共7层),板楼,90
捷龙盛世,安海镇,104.915149884696,35.3918174781472,171,11794,3室2厅,145,南,毛坯,中楼层(共17层),板塔结合,30
晋江宝龙国际社区西区,宝龙广场,118.588131464562,24.8849548995145,192,18950,3室2厅,101,南,简装,低楼层(共25层),板楼,150
凤山金苑,东湖,121.342200081132,30.7620723991983,155,11066,4室2厅,140,南北,简装,高楼层(共7层),板楼,90
